# GENERATED by tools/genfont/mksymbols.py -- do not edit.
# Joined from lib/MicroTeX/res (vendored) and unicode-math-table.tex.
# codepoint is StaTeX's lookup key, not a claim about the character's identity;
# cp_source=pua means no Unicode codepoint names this glyph.
# unicode_math is filled in only where unicode-math-table.tex disagrees with the
# chosen codepoint. MicroTeX's tables win because they are what the existing
# atlas was built from; the column records the alternative so switching is a
# one-column edit rather than an archaeology exercise.
name	codepoint	cp_source	atomtype	takes_limits	delimiter	face	tfm_font	slot	ttf	unicode_math
chi	0x03C7	microtex	Ordinary	0	0	3	cmmi10_unchanged	194	base/cmmi10.ttf	
circ	0x2218	microtex	BinaryOp	0	0	3	cmsy10	177	maths/cmsy10.ttf	
circeq	0x2257	microtex	Relation	0	0	3	msam10	36	maths/msam10.ttf	
circlearrowleft	0xE018	pua	Relation	0	0	3	msam10	170	maths/msam10.ttf	
circlearrowright	0xE019	pua	Relation	0	0	3	msam10	169	maths/msam10.ttf	
circledS	0x24C8	microtex	Ordinary	0	0	3	msam10	115	maths/msam10.ttf	
circledast	0x229B	microtex	BinaryOp	0	0	3	msam10	126	maths/msam10.ttf	
circledcirc	0x229A	microtex	BinaryOp	0	0	3	msam10	125	maths/msam10.ttf	
circleddash	0x229D	microtex	BinaryOp	0	0	3	msam10	196	maths/msam10.ttf	
clubsuit	0x2663	microtex	Ordinary	0	0	3	cmsy10	124	maths/cmsy10.ttf	
colon	0x003A	microtex	Relation	0	0	3	cmr10	58	latin/cmr10.ttf	
comma	0x002C	microtex	Punctuation	0	0	3	cmmi10_unchanged	59	base/cmmi10.ttf	
complement	0x2201	microtex	Ordinary	0	0	3	msam10	123	maths/msam10.ttf	
coprod	0x2210	microtex	BigOp	1	0	3	cmex10	96	base/cmex10.ttf	
cup	0x222A	microtex	BinaryOp	0	0	3	cmsy10	91	maths/cmsy10.ttf	
curlyeqprec	0x22DE	microtex	Relation	0	0	3	msam10	50	maths/msam10.ttf	
curlyeqsucc	0x22DF	microtex	Relation	0	0	3	msam10	51	maths/msam10.ttf	
curlyvee	0x22CE	microtex	BinaryOp	0	0	3	msam10	103	maths/msam10.ttf	
curlyveedownarrow	0xE01A	pua	Relation	0	0	3	stmary10	78	maths/stmary10.ttf	
curlyveeuparrow	0xE01B	pua	Relation	0	0	3	stmary10	79	maths/stmary10.ttf	
curlywedge	0x22CF	microtex	BinaryOp	0	0	3	msam10	102	maths/msam10.ttf	
curlywedgedownarrow	0xE01C	pua	Relation	0	0	3	stmary10	71	maths/stmary10.ttf	
curlywedgeuparrow	0xE01D	pua	Relation	0	0	3	stmary10	70	maths/stmary10.ttf	
curvearrowleft	0x21B6	microtex	Relation	0	0	3	msbm10	120	maths/msbm10.ttf	
curvearrowright	0x21B7	microtex	Relation	0	0	3	msbm10	121	maths/msbm10.ttf	
dE	0xE01E	pua	Ordinary	0	0	3	special	67	maths/special.ttf	
dT	0xE01F	pua	Ordinary	0	0	3	special	66	maths/special.ttf	
dX	0xE020	pua	Ordinary	0	0	3	special	68	maths/special.ttf	
dagger	0x2020	microtex	BinaryOp	0	0	3	cmsy10	121	maths/cmsy10.ttf	
daleth	0x2138	microtex	Ordinary	0	0	3	msbm10	107	maths/msbm10.ttf	
dashv	0x22A3	microtex	Relation	0	0	3	cmsy10	97	maths/cmsy10.ttf	
dbend	0xE021	pua	Ordinary	0	0	3	r10_unchanged	127	latin/r10.ttf	
ddagger	0x2021	microtex	BinaryOp	0	0	3	cmsy10	122	maths/cmsy10.ttf	
delta	0x03B4	microtex	Ordinary	0	0	3	cmmi10_unchanged	177	base/cmmi10.ttf	
